id_estacion,nombre_estacion,long_estacion,lat_estacion,domicilio_estacion,tipo_estacion,observaciones,horario_estacion
147.0,Constitución I,-58.37910486128021,-34.6274554061156,Av Brasil 1050 y Lima,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
148.0,Constitución II,-58.379231885257795,-34.627494076458305,Av Brasil 1060 y Lima,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
149.0,Lima,-58.3814348855933,-34.6153639565906,Lima y México,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
150.0,Vera Peñaloza,-58.363090509170895,-34.6180820211727,Rosario Vera Peñaloza y Olga Cossettini,AUTOMÁTICA,Diciembre 2016,Estación automática: disponibilidad las 24 horas
151.0,Aimé Painé,-58.360905798483,-34.6118079128888,Azucena Villaflor 553 entre Calabria y Aimé Painé,AUTOMÁTICA,Diciembre 2016,Estación automática: disponibilidad las 24 horas
152.0,Julieta Lanteri,-58.35913142905361,-34.617485823733894,Vera Peñalosa entre Calabria y Julieta Lanteri,AUTOMÁTICA,Enero 2017,Estación automática: disponibilidad las 24 horas
153.0,Juan Manuel Blanes,-58.362083360324796,-34.6306928058918,Juan Manuel Blanes 383,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
154.0,Gallo,-58.41210471914761,-34.6002248637866,Gallo y Tucumán,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
155.0,Parque José Evaristo Uriburu,-58.4125592981411,-34.6417279105113,Pque. José E. Uriburu - Almafuerte 300,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
156.0,Plaza Alemania,-58.407965559468,-34.5778491087657,Plaza Alemania: Del Libertador Av y Cavia,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
157.0,Senillosa y Zuviría,-58.4279521831874,-34.6283092127138,Senillosa 989 y Zuviría,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
158.0,Villarroel,-58.44509865535971,-34.5928392137991,Villarroel y Humboldt,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
160.0,Godoy Cruz y Libertador,-58.42021025469279,-34.5729623675618,Godoy Cruz 3291 entre Av Del Libertador y Seguí,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
161.0,Humahuaca,-58.4196778632351,-34.60205792409489,Humahuaca 3918,AUTOMÁTICA,Enero 2017,Estación automática: disponibilidad las 24 horas
162.0,Larrea y Bartolomé Mitre,-58.401945169855786,-34.609239096778396,Larrea entre Bartolomé Mitre y Av Rivadavia,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
163.0,Once II,-58.4066167991811,-34.6093554863347,Bartolomé Mitre y Av Pueyrredón,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
164.0,Facultad de Ingeniería,-58.366755289408395,-34.6180669522061,Estados Unidos entre Azopardo y Huergo Av,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
165.0,Plaza Monseñor Miguel de Andrea,-58.40785166335999,-34.597763577063304,Plaza Monseñor Miguel de Andrea (Anchorena 900),AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
